Filename	Lambda
MVP_R4.1000G_AGR.Phe_252.AMR.GIA.dbGaP.txt.gz	1.088
MVP_R4.1000G_AGR.Phe_242.AMR.GIA.dbGaP.txt.gz	1.087
MVP_R4.1000G_AGR.Phe_790_6.EUR.GIA.dbGaP.txt.gz	1.086
MVP_R4.1000G_AGR.Phe_249.EUR.GIA.dbGaP.txt.gz	1.085
MVP_R4.1000G_AGR.Phe_252_1.AMR.GIA.dbGaP.txt.gz	1.085
MVP_R4.1000G_AGR.Phe_531.EUR.GIA.dbGaP.txt.gz	1.084
MVP_R4.1000G_AGR.Phe_285_21.EUR.GIA.dbGaP.txt.gz	1.082
MVP_R4.1000G_AGR.Phe_426_7.EUR.GIA.dbGaP.txt.gz	1.081
MVP_R4.1000G_AGR.Phe_250_13.EUR.GIA.dbGaP.txt.gz	1.08
MVP_R4.1000G_AGR.Phe_740_2.EUR.GIA.dbGaP.txt.gz	1.08
MVP_R4.1000G_AGR.Phe_371_1.AMR.GIA.dbGaP.txt.gz	1.079
MVP_R4.1000G_AGR.Phe_250_24.AFR.GIA.dbGaP.txt.gz	1.079
MVP_R4.1000G_AGR.Phe_345.EUR.GIA.dbGaP.txt.gz	1.079
MVP_R4.1000G_AGR.Phe_251_1.AMR.GIA.dbGaP.txt.gz	1.079
MVP_R4.1000G_AGR.Phe_214.EUR.GIA.dbGaP.txt.gz	1.078
MVP_R4.1000G_AGR.Phe_433_8.EUR.GIA.dbGaP.txt.gz	1.078
MVP_R4.1000G_AGR.Phe_427_7.EUR.GIA.dbGaP.txt.gz	1.078
MVP_R4.1000G_AGR.Phe_185.AFR.GIA.dbGaP.txt.gz	1.076
MVP_R4.1000G_AGR.Phe_250_23.AFR.GIA.dbGaP.txt.gz	1.076
MVP_R4.1000G_AGR.Phe_242_1.EUR.GIA.dbGaP.txt.gz	1.075
MVP_R4.1000G_AGR.Phe_250_42.EUR.GIA.dbGaP.txt.gz	1.075
MVP_R4.1000G_AGR.Phe_250_7.AFR.GIA.dbGaP.txt.gz	1.075
MVP_R4.1000G_AGR.Phe_278_11.AFR.GIA.dbGaP.txt.gz	1.075
MVP_R4.1000G_AGR.Phe_365_11.AFR.GIA.dbGaP.txt.gz	1.075
MVP_R4.1000G_AGR.Phe_241_1.EUR.GIA.dbGaP.txt.gz	1.074
MVP_R4.1000G_AGR.Phe_255.AMR.GIA.dbGaP.txt.gz	1.073
MVP_R4.1000G_AGR.Phe_523_31.EUR.GIA.dbGaP.txt.gz	1.073
MVP_R4.1000G_AGR.Phe_244_1.AMR.GIA.dbGaP.txt.gz	1.072
MVP_R4.1000G_AGR.Phe_472.EUR.GIA.dbGaP.txt.gz	1.07
MVP_R4.1000G_AGR.Phe_327_3.AFR.GIA.dbGaP.txt.gz	1.07
MVP_R4.1000G_AGR.Phe_523_1.EUR.GIA.dbGaP.txt.gz	1.07
MVP_R4.1000G_AGR.Phe_253.AMR.GIA.dbGaP.txt.gz	1.069
MVP_R4.1000G_AGR.Phe_241_2.EUR.GIA.dbGaP.txt.gz	1.069
MVP_R4.1000G_AGR.Phe_249.AMR.GIA.dbGaP.txt.gz	1.068
MVP_R4.1000G_AGR.Phe_796.AFR.GIA.dbGaP.txt.gz	1.068
MVP_R4.1000G_AGR.Phe_367_9.EUR.GIA.dbGaP.txt.gz	1.067
MVP_R4.1000G_AGR.Phe_260.EUR.GIA.dbGaP.txt.gz	1.067
MVP_R4.1000G_AGR.Phe_522.EUR.GIA.dbGaP.txt.gz	1.067
MVP_R4.1000G_AGR.Phe_338_1.EUR.GIA.dbGaP.txt.gz	1.066
MVP_R4.1000G_AGR.Phe_327_32.AFR.GIA.dbGaP.txt.gz	1.066
